Node_id Range Mean Std
bcully 2270 734177.0 655.581167108
arifilipe 2242 734163.0 647.498262546
isoma 2242 734163.0 647.498262546
0v0 2242 734163.0 647.498262546
cxreg 2242 734163.0 647.498262546
Edgars 2242 734163.0 647.498262546
klangenfarben 2242 734163.0 647.498262546
jlbec 2242 734163.0 647.498262546
puzzled 2242 734163.0 647.498262546
meni 2242 734163.0 647.498262546
kewlar 2242 734163.0 647.498262546
cyantist 2242 734163.0 647.498262546
renaud 2242 734163.0 647.498262546
mander 2242 734163.0 647.498262546
mrlinux 2242 734163.0 647.498262546
pa 2242 734163.0 647.498262546
wnewman 2242 734163.0 647.498262546
dancer 2242 734163.0 647.498262546
andrewsj 2242 734163.0 647.498262546
thomasq 2242 734163.0 647.498262546
cmuller 2242 734163.0 647.498262546
jemarch 2243 734163.5 647.786937709
perky 2242 734163.0 647.498262546
Eowin 2242 734163.0 647.498262546
enienigma 2242 734163.0 647.498262546
angels 2242 734163.0 647.498262546
gene99 2242 734163.0 647.498262546
svanegmond 2242 734163.0 647.498262546
shillo 2242 734163.0 647.498262546
gavinb 2242 734163.0 647.498262546
Zaitcev 2250 734167.0 649.807663851
sits 2242 734163.0 647.498262546
jmd 2242 734163.0 647.498262546
pwlfong 2242 734163.0 647.498262546
Apakuni 2242 734163.0 647.498262546
milkman 2242 734163.0 647.498262546
arhuman 2242 734163.0 647.498262546
thinq 2242 734163.0 647.498262546
mbarkhau 1657 734089.5 478.623286103
netnut 2242 734163.0 647.498262546
mikehearn 2242 734163.0 647.498262546
jfrisby 2242 734163.0 647.498262546
brian252 2242 734163.0 647.498262546
aq 2242 734163.0 647.498262546
spacehunt 2242 734163.0 647.498262546
sterwill 2242 734163.0 647.498262546
het 2242 734163.0 647.498262546
stephus 2242 734163.0 647.498262546
jrockway 2242 734163.0 647.498262546
jmk 2242 734163.0 647.498262546
snotty 2242 734163.0 647.498262546
nwv 2242 734163.0 647.498262546
javier 2242 734163.0 647.498262546
scoop 2242 734163.0 647.498262546
ssb 2242 734163.0 647.498262546
karkul 2242 734163.0 647.498262546
diamond 2242 734163.0 647.498262546
bos 2242 734163.0 647.498262546
janneke 1577 734525.187421 454.874658938
omarkhan 2242 734163.0 647.498262546
weddy 2242 734163.0 647.498262546
PhOeNiX 2242 734163.0 647.498262546
conrad 2270 734177.0 655.581167108
RyanPavlik 2242 734163.0 647.498262546
jpayne 2242 734163.0 647.498262546
rlowe 2242 734163.0 647.498262546
DarthEvangelus 2242 734163.0 647.498262546
sindoc 2146 734206.0 619.785446748
mathieu 2242 734163.0 647.498262546
cce 2242 734163.0 647.498262546
walker 2242 734163.0 647.498262546
alexh 2242 734163.0 647.498262546
lynx 2242 734163.0 647.498262546
epic 2242 734163.0 647.498262546
jwise 2242 734163.0 647.498262546
opum 2242 734163.0 647.498262546
danpost 2242 734163.0 647.498262546
hitweb 942 733502.733333 269.851432376
initself 2242 734163.0 647.498262546
jht001 2242 734163.0 647.498262546
stanshebs 2179 734167.5 629.311727207
Donwulff 2242 734163.0 647.498262546
easino 2242 734163.0 647.498262546
chunsj 2242 734163.0 647.498262546
wwwwolf 2242 734163.0 647.498262546
jluke 2242 734163.0 647.498262546
zenda 2242 734163.0 647.498262546
jchen 2242 734163.0 647.498262546
habes 2242 734163.0 647.498262546
Natalie 448 733266.0 129.614813968
jcsteele 1024 733890.028785 308.52193237
rnsanchez 2242 734163.0 647.498262546
werschi 2242 734163.0 647.498262546
jsn 2242 734163.0 647.498262546
Pistos 2242 734163.0 647.498262546
msa 2242 734163.0 647.498262546
zipang 2242 734163.0 647.498262546
kanikus 2242 734163.0 647.498262546
gleep 2242 734163.0 647.498262546
methodMatthew 2242 734163.0 647.498262546
garym 2242 734163.0 647.498262546
derupe 2242 734163.0 647.498262546
bjgm 2242 734163.0 647.498262546
lev 2242 734163.0 647.498262546
revoquer 2242 734163.0 647.498262546
jrobbins 2242 734163.0 647.498262546
corran 2242 734163.0 647.498262546
ciro 2242 734163.0 647.498262546
fismith 2242 734163.0 647.498262546
gc 2242 734163.0 647.498262546
rainbow 2242 734163.0 647.498262546
wscott 2242 734163.0 647.498262546
rotty 2270 734177.0 655.581167108
starzz 2242 734163.0 647.498262546
lynnseck 2242 734163.0 647.498262546
gregors 2242 734163.0 647.498262546
asierra 2242 734163.0 647.498262546
rohitmalhotra 2242 734163.0 647.498262546
cowbutt 2242 734163.0 647.498262546
the9ull 1566 734135.0 452.353843799
clubfan 2242 734163.0 647.498262546
hexmode 2242 734163.0 647.498262546
KC7591 2242 734163.0 647.498262546
Banana 2242 734163.0 647.498262546
richardted 2242 734163.0 647.498262546
psd 34 733167.0 10.0995049384
osfameron 2242 734163.0 647.498262546
aclark 2242 734163.0 647.498262546
aaronwald 2242 734163.0 647.498262546
yyu08 2242 734163.0 647.498262546
richi 2242 734163.0 647.498262546
skeeter 2242 734163.0 647.498262546
shareme 2242 734163.0 647.498262546
Roger 2242 734163.0 647.498262546
nils 2242 734163.0 647.498262546
knight 2242 734163.0 647.498262546
inri 2242 734163.0 647.498262546
Grit 2242 734163.0 647.498262546
opk 2242 734163.0 647.498262546
fingolfin 2242 734163.0 647.498262546
Michael 2242 734163.0 647.498262546
pippin 2242 734163.0 647.498262546
federico 2270 734177.0 655.581167108
jmb 2242 734163.0 647.498262546
poelzi 2242 734163.0 647.498262546
sporty 2242 734163.0 647.498262546
cjs 2242 734163.0 647.498262546
sri 2242 734163.0 647.498262546
kal 2242 734163.0 647.498262546
olive 2247 734165.5 648.941638362
shields 2242 734163.0 647.498262546
nata 2242 734163.0 647.498262546
BlaisePascal 2242 734163.0 647.498262546
thrx 2242 734163.0 647.498262546
bigkevmcd 1125 733598.493176 326.719680305
mattam 2242 734163.0 647.498262546
siriwat 2242 734163.0 647.498262546
lhorn 2242 734163.0 647.498262546
werneck 2242 734163.0 647.498262546
leaf 2242 734163.0 647.498262546
gheet 2242 734163.0 647.498262546
nornCabor 2242 734163.0 647.498262546
Usharr 2242 734163.0 647.498262546
mmannix 2242 734163.0 647.498262546
pms 2242 734163.0 647.498262546
Tabitha 448 733266.0 129.614813968
Muad 2242 734163.0 647.498262546
Aspuru 4485 735284.5 1294.99662162
helish 2242 734163.0 647.498262546
penso 2242 734163.0 647.498262546
phusnikn 2242 734163.0 647.498262546
jamoore 2242 734163.0 647.498262546
fab 2242 734163.0 647.498262546
lidl 2242 734163.0 647.498262546
tinixtech 1596 734120.0 461.014099567
elenchos 2242 734163.0 647.498262546
amnesia 2242 734163.0 647.498262546
danbri 2270 734177.0 655.581167108
stamer 2242 734163.0 647.498262546
andi 2242 734163.0 647.498262546
monkeyboy121 2242 734163.0 647.498262546
ZachGarner 2242 734163.0 647.498262546
Heidi 448 733266.0 129.614813968
arnabdotorg 2242 734163.0 647.498262546
jkeenan 2242 734163.0 647.498262546
swm 2242 734163.0 647.498262546
seniorgoat 2242 734163.0 647.498262546
brother 2242 734163.0 647.498262546
eva 2242 734163.0 647.498262546
shew 2242 734163.0 647.498262546
gnudist 2242 734163.0 647.498262546
God 2242 734163.0 647.498262546
terminus 2242 734163.0 647.498262546
kongyew 2242 734163.0 647.498262546
playmobil 2242 734163.0 647.498262546
jah 2242 734163.0 647.498262546
hobbs 2242 734163.0 647.498262546
frealek 2242 734163.0 647.498262546
ahosey 2242 734163.0 647.498262546
mibus 2242 734163.0 647.498262546
saturdayllc 0 733839.0 0.0
zor0n 2242 734163.0 647.498262546
spuk 2242 734163.0 647.498262546
chip 2242 734163.0 647.498262546
runen1971 2242 734163.0 647.498262546
fn42 2242 734163.0 647.498262546
roshan 2242 734163.0 647.498262546
lavega 2242 734163.0 647.498262546
jarcas 2242 734163.0 647.498262546
Simon 2242 734163.0 647.498262546
adaoraul 2242 734163.0 647.498262546
alpha 2242 734163.0 647.498262546
Dominic 2242 734163.0 647.498262546
jrt 2242 734163.0 647.498262546
yiran 2242 734163.0 647.498262546
jelwell 2242 734163.0 647.498262546
monniaux 2242 734163.0 647.498262546
bryanf 2242 734163.0 647.498262546
yrashk 2242 734163.0 647.498262546
grin 2242 734163.0 647.498262546
sc 2242 734163.0 647.498262546
iceman546 2242 734163.0 647.498262546
dwave 2242 734163.0 647.498262546
mrklaw 2242 734163.0 647.498262546
giraffe949 2242 734163.0 647.498262546
ditd 2242 734163.0 647.498262546
andyv 2242 734163.0 647.498262546
jduncan 2242 734163.0 647.498262546
ovg 2242 734163.0 647.498262546
gilbertt 2242 734163.0 647.498262546
tamminide 2242 734163.0 647.498262546
sushant1980 2242 734163.0 647.498262546
lmvaz 2247 734165.5 648.941638362
tanisha 2242 734163.0 647.498262546
Zezinho 2242 734163.0 647.498262546
mark 2242 734163.0 647.498262546
dbj 2242 734163.0 647.498262546
24ktchocolate 2242 734163.0 647.498262546
dmolnar 2242 734163.0 647.498262546
mazurek 2242 734163.0 647.498262546
kashani 2242 734163.0 647.498262546
lkcl 2270 734177.0 655.581167108
tkuehne 2242 734163.0 647.498262546
cbj 2242 734163.0 647.498262546
fuzzyping 2242 734163.0 647.498262546
borud 2242 734163.0 647.498262546
Avikshee 2 733546.0 0.816496580928
lgerbarg 2270 734177.0 655.581167108
dnm 2250 734167.0 649.807663851
ijliao 2242 734163.0 647.498262546
Janus 2242 734163.0 647.498262546
abelrg 2242 734163.0 647.498262546
nethescurial 2242 734163.0 647.498262546
zordor 2242 734163.0 647.498262546
neugens 2258 734171.0 652.117065155
robertdickenson 2242 734163.0 647.498262546
hilgart 2242 734163.0 647.498262546
aksaharan 2242 734163.0 647.498262546
logicfee 1238 734691.0 357.668375268
ekkerbj 2242 734163.0 647.498262546
ziggy 2242 734163.0 647.498262546
dr 2242 734163.0 647.498262546
Raffi 2 733546.0 0.816496580928
jefft 2242 734163.0 647.498262546
campd 2242 734163.0 647.498262546
gac 2242 734163.0 647.498262546
koke 2242 734163.0 647.498262546
seek3r 2242 734163.0 647.498262546
jduckles 2242 734163.0 647.498262546
philhunt 2242 734163.0 647.498262546
sangr 2242 734163.0 647.498262546
nib 2242 734163.0 647.498262546
keeda 2242 734163.0 647.498262546
ungaro 2242 734163.0 647.498262546
amu 2242 734163.0 647.498262546
johnwolf 2242 734163.0 647.498262546
jpritikin 2242 734163.0 647.498262546
khoerling 2242 734163.0 647.498262546
mock 2242 734163.0 647.498262546
ressu 2242 734163.0 647.498262546
nik123 2242 734163.0 647.498262546
andersee 2270 734177.0 655.581167108
BlakeWatters 2242 734163.0 647.498262546
dido 2242 734163.0 647.498262546
Alphax 2242 734163.0 647.498262546
raptor 2242 734163.0 647.498262546
orasis 2242 734163.0 647.498262546
elf 2242 734163.0 647.498262546
saintong 2242 734163.0 647.498262546
cech 2242 734163.0 647.498262546
lakeland 2242 734163.0 647.498262546
nriley 2242 734163.0 647.498262546
drikalot 2242 734163.0 647.498262546
CryoBob 2242 734163.0 647.498262546
mdekkers 2242 734163.0 647.498262546
feztbrus 2242 734163.0 647.498262546
MAXSU 2242 734163.0 647.498262546
NickD 2242 734163.0 647.498262546
dbuttric 2242 734163.0 647.498262546
gregorb 2242 734163.0 647.498262546
sotod 2242 734163.0 647.498262546
Coverfire 2242 734163.0 647.498262546
jacobo 2242 734163.0 647.498262546
cyberleaf 2242 734163.0 647.498262546
zitro 2242 734163.0 647.498262546
oku 2242 734163.0 647.498262546
iGN 2242 734163.0 647.498262546
anandbabu 2091 734240.5 603.908312577
dwiner 2250 734167.0 649.807663851
NoWhereMan 2242 734163.0 647.498262546
StEgo 2242 734163.0 647.498262546
heri0n 2242 734163.0 647.498262546
bero 2242 734163.0 647.498262546
dps29 2242 734163.0 647.498262546
rmk 2270 734177.0 655.581167108
zeeman 2242 734163.0 647.498262546
adrighem 2242 734163.0 647.498262546
roberthstarr 2242 734163.0 647.498262546
ajr 2242 734163.0 647.498262546
dse 2242 734163.0 647.498262546
bobsquatch 2242 734163.0 647.498262546
beland 2242 734163.0 647.498262546
NukeGeek 2242 734163.0 647.498262546
zerodeux 2242 734163.0 647.498262546
mblevin 2242 734163.0 647.498262546
KirkWylie 2242 734163.0 647.498262546
johnjones 2242 734163.0 647.498262546
Grecko 2242 734163.0 647.498262546
sync 2242 734163.0 647.498262546
quinlan 2242 734163.0 647.498262546
wilane 2242 734163.0 647.498262546
mikeycooper 2242 734163.0 647.498262546
mhz 2242 734163.0 647.498262546
RobinS 2242 734163.0 647.498262546
kramarao 2242 734163.0 647.498262546
ferulisses 2242 734163.0 647.498262546
pearlbear 2242 734163.0 647.498262546
TarekEslim 2242 734163.0 647.498262546
syberghost 2242 734163.0 647.498262546
nkirsch 2242 734163.0 647.498262546
montana 2242 734163.0 647.498262546
RobFlynn 2242 734163.0 647.498262546
KingMushroom 2242 734163.0 647.498262546
abram 2242 734163.0 647.498262546
boerner 2242 734163.0 647.498262546
peliom 1566 734333.0 452.353843799
rodolphe 2270 734177.0 655.581167108
LetterJ 2242 734163.0 647.498262546
jpm 2242 734163.0 647.498262546
LLS924 2242 734163.0 647.498262546
chrisime 2242 734163.0 647.498262546
Monty 2242 734163.0 647.498262546
des 2242 734163.0 647.498262546
behdad 2242 734163.0 647.498262546
jacopoc 2055 734264.5 593.516006524
marcoli 2242 734163.0 647.498262546
valkor 2242 734163.0 647.498262546
seachina 2242 734163.0 647.498262546
nwertman 2242 734163.0 647.498262546
ElGeeko 448 733266.0 129.614813968
jstanton 2242 734163.0 647.498262546
jajo 2242 734163.0 647.498262546
jct 2242 734163.0 647.498262546
joaovianna 2242 734163.0 647.498262546
Grey3 2242 734163.0 647.498262546
lobo 1459 734188.5 421.465597647
opiate 2242 734163.0 647.498262546
barryp 2242 734163.0 647.498262546
deekayen 2242 734163.0 647.498262546
havardk 2242 734163.0 647.498262546
geoff 2242 734163.0 647.498262546
sulaiman 2242 734163.0 647.498262546
henrik 2242 734163.0 647.498262546
tbhaskar 2242 734163.0 647.498262546
Seri 2242 734163.0 647.498262546
wayne 2242 734163.0 647.498262546
dberlin 2242 734163.0 647.498262546
gagzilla 2242 734163.0 647.498262546
FreThnkr 2242 734163.0 647.498262546
janfrode 2242 734163.0 647.498262546
Melomel 2242 734163.0 647.498262546
mdz 2242 734163.0 647.498262546
JMarc 2242 734163.0 647.498262546
mau 2242 734163.0 647.498262546
statbanana 2242 734163.0 647.498262546
slartibartfast 2242 734163.0 647.498262546
jaybonci 2242 734163.0 647.498262546
ostampflee 2242 734163.0 647.498262546
entropy 2242 734163.0 647.498262546
jedgar 2242 734163.0 647.498262546
blackamon 2242 734163.0 647.498262546
dump 2242 734163.0 647.498262546
rkinder 2242 734163.0 647.498262546
lantern 2242 734163.0 647.498262546
mlemos 2242 734163.0 647.498262546
cowboy 2242 734163.0 647.498262546
sysdebug 2242 734163.0 647.498262546
average 2242 734163.0 647.498262546
bradfitz 2243 734163.5 647.786937709
cascardo 2270 734177.0 655.581167108
nerdgir1 2242 734163.0 647.498262546
feanor 2242 734163.0 647.498262546
olandgren 2242 734163.0 647.498262546
Telsa 4485 735284.5 1294.99662162
ken 2242 734163.0 647.498262546
hazen 2242 734163.0 647.498262546
inf 2242 734163.0 647.498262546
gregk433 2242 734163.0 647.498262546
jsinger 2242 734163.0 647.498262546
leighsmith 2242 734163.0 647.498262546
sgore 2242 734163.0 647.498262546
nix 2242 734163.0 647.498262546
eivindj 2242 734163.0 647.498262546
jbontje 2242 734163.0 647.498262546
kolbi 2242 734163.0 647.498262546
fen 2242 734163.0 647.498262546
matthewd 2242 734163.0 647.498262546
giros 2242 734163.0 647.498262546
srittau 2242 734163.0 647.498262546
karlb 2242 734163.0 647.498262546
meijerink 2242 734163.0 647.498262546
angch 2242 734163.0 647.498262546
jci 2242 734163.0 647.498262546
pinktulip 2242 734163.0 647.498262546
jazzturk 2242 734163.0 647.498262546
sl0th 2242 734163.0 647.498262546
dglo 2242 734163.0 647.498262546
funrecords 2242 734163.0 647.498262546
felipe 2242 734163.0 647.498262546
edmundo 2242 734163.0 647.498262546
jonabbey 2242 734163.0 647.498262546
mutende 2242 734163.0 647.498262546
gregheartsfield 1499 734168.5 433.012605667
stakos 2242 734163.0 647.498262546
yositune 2242 734163.0 647.498262546
jmcg 2242 734163.0 647.498262546
zanzi 2242 734163.0 647.498262546
e8johan 2242 734163.0 647.498262546
twit 2242 734163.0 647.498262546
zhuxuefeng 2242 734163.0 647.498262546
kirby 2242 734163.0 647.498262546
cord 2242 734163.0 647.498262546
serlis 2242 734163.0 647.498262546
xriso 2242 734163.0 647.498262546
sajith 2242 734163.0 647.498262546
Crutcher 2242 734163.0 647.498262546
frob 2242 734163.0 647.498262546
sanyaade 2242 734163.0 647.498262546
kernelrahl 2242 734163.0 647.498262546
argent 2242 734163.0 647.498262546
jaygray 2242 734163.0 647.498262546
mpawlo 2242 734163.0 647.498262546
airchild 2242 734163.0 647.498262546
Smith 2242 734163.0 647.498262546
hansw 2242 734163.0 647.498262546
dneighbors 2242 734163.0 647.498262546
ryuslash 882 734823.0 254.899980384
leshert 2242 734163.0 647.498262546
djbclark 1571 734132.5 453.797219765
ellis 2242 734163.0 647.498262546
jdigital 2242 734163.0 647.498262546
cpbs 2242 734163.0 647.498262546
simosx 2242 734163.0 647.498262546
till 2242 734163.0 647.498262546
bibus 2242 734163.0 647.498262546
Damien 2242 734163.0 647.498262546
mochel 2242 734163.0 647.498262546
tialaramex 2242 734163.0 647.498262546
paddbear 2242 734163.0 647.498262546
apm 2242 734163.0 647.498262546
avriettea 1994 734041.192698 578.895037892
pbor 2270 734177.0 655.581167108
glaucius 2242 734163.0 647.498262546
cushman 2242 734163.0 647.498262546
justin 2242 734163.0 647.498262546
rawb 2242 734163.0 647.498262546
benson 2242 734163.0 647.498262546
taliin 503 733293.5 145.491981451
fig 2242 734163.0 647.498262546
AlanShutko 2242 734163.0 647.498262546
GJF 2270 734177.0 655.581167108
popeclayton 2242 734163.0 647.498262546
bears 2242 734163.0 647.498262546
ankit 2242 734163.0 647.498262546
JALH 2242 734163.0 647.498262546
baden 2242 734163.0 647.498262546
bigdisk 2242 734163.0 647.498262546
johnca 2242 734163.0 647.498262546
daky 2242 734163.0 647.498262546
kojima 2270 734177.0 655.581167108
darkdonno 2242 734163.0 647.498262546
capo 2242 734163.0 647.498262546
xm 2242 734163.0 647.498262546
biznas 2242 734163.0 647.498262546
owlclown 2242 734163.0 647.498262546
jmcastagnetto 2242 734163.0 647.498262546
vov1den 2242 734163.0 647.498262546
Michaelthood 13 734499.5 4.03112887415
marevalo 2242 734163.0 647.498262546
thexplorer 2242 734163.0 647.498262546
khedr 2242 734163.0 647.498262546
thenorthpole 2242 734163.0 647.498262546
davidu 2242 734163.0 647.498262546
LeeJay 2242 734163.0 647.498262546
ceri 2242 734163.0 647.498262546
evilwalrus 2242 734163.0 647.498262546
diablero 2242 734163.0 647.498262546
rengolin 2242 734163.0 647.498262546
X143ANGEL69 2242 734163.0 647.498262546
jaredflo 2242 734163.0 647.498262546
gvwilson 2242 734163.0 647.498262546
berend 2242 734163.0 647.498262546
Killerbees 2249 734166.5 649.518988688
rb 2242 734163.0 647.498262546
pal 2242 734163.0 647.498262546
alvaro 2242 734163.0 647.498262546
shaleh 2242 734163.0 647.498262546
vlg 2242 734163.0 647.498262546
frolic 2233 734195.5 644.900186075
negative 2242 734163.0 647.498262546
hubertf 2242 734163.0 647.498262546
jra 2242 734163.0 647.498262546
ericp 2242 734163.0 647.498262546
hagus 2242 734163.0 647.498262546
hqm 2242 734163.0 647.498262546
sarynx 2242 734163.0 647.498262546
martinh 2242 734163.0 647.498262546
earlneath 2242 734163.0 647.498262546
mrw 2242 734163.0 647.498262546
bjs24 2242 734163.0 647.498262546
dax 2273 734178.5 656.447192596
geertjan 2242 734163.0 647.498262546
madhatter 2242 734163.0 647.498262546
jcv 2242 734163.0 647.498262546
jgaiser 2242 734163.0 647.498262546
lool 2242 734163.0 647.498262546
kapo 2242 734163.0 647.498262546
bhanu29004 2242 734163.0 647.498262546
rosen 2242 734163.0 647.498262546
gognoos 2242 734163.0 647.498262546
Mac 2242 734163.0 647.498262546
jch 2242 734163.0 647.498262546
zaldun 2242 734163.0 647.498262546
kalle 2242 734163.0 647.498262546
kailden 2242 734163.0 647.498262546
btenison 2242 734163.0 647.498262546
jmarca 2242 734163.0 647.498262546
YotamAviv 2242 734163.0 647.498262546
pabos 2242 734163.0 647.498262546
syngin 2242 734163.0 647.498262546
splork 2242 734163.0 647.498262546
walken 2242 734163.0 647.498262546
tampe 2270 734177.0 655.581167108
Fabian 2242 734163.0 647.498262546
k2pts 2242 734163.0 647.498262546
nagsen 2242 734163.0 647.498262546
strick 2242 734163.0 647.498262546
rpelcastre 2242 734163.0 647.498262546
bmann 2242 734163.0 647.498262546
jameskay 2242 734163.0 647.498262546
anmar 2242 734163.0 647.498262546
biz 2242 734163.0 647.498262546
rwatson 2242 734163.0 647.498262546
wrffr 2242 734163.0 647.498262546
macana 2242 734163.0 647.498262546
frb 2242 734163.0 647.498262546
gerardo 2242 734163.0 647.498262546
wgayton 2242 734163.0 647.498262546
ZeeblebroX 2242 734163.0 647.498262546
bkor 2242 734163.0 647.498262546
ib 2242 734163.0 647.498262546
footpad 2242 734163.0 647.498262546
AxelB 2242 734163.0 647.498262546
tojabr 2242 734163.0 647.498262546
jasonc 2242 734163.0 647.498262546
thiagom 2270 734177.0 655.581167108
dlweinreb 2242 734163.0 647.498262546
iain 2242 734163.0 647.498262546
AgentX 2242 734163.0 647.498262546
mwk 2242 734163.0 647.498262546
Artimage 2242 734163.0 647.498262546
garima 2242 734163.0 647.498262546
kabalak 2242 734163.0 647.498262546
rince 2242 734163.0 647.498262546
jasonp 2242 734163.0 647.498262546
kuksaa 2242 734163.0 647.498262546
eukreign 2242 734163.0 647.498262546
DaveGoehrig 2242 734163.0 647.498262546
todd 2242 734163.0 647.498262546
prigaux 2242 734163.0 647.498262546
MichaelCox 2242 734163.0 647.498262546
bendy 2242 734163.0 647.498262546
bombastic 2242 734163.0 647.498262546
smiha 2242 734163.0 647.498262546
boski66 2242 734163.0 647.498262546
jtangney 2242 734163.0 647.498262546
jsogo 2242 734163.0 647.498262546
armbothism 2242 734163.0 647.498262546
AvEng 2242 734163.0 647.498262546
seb 2242 734163.0 647.498262546
va511e 2242 734163.0 647.498262546
ads 2242 734163.0 647.498262546
fabiofb 2242 734163.0 647.498262546
creed 2242 734163.0 647.498262546
itp 2242 734163.0 647.498262546
mandar 2242 734163.0 647.498262546
wseltzer 2242 734163.0 647.498262546
chuckw 2242 734163.0 647.498262546
teknix 2242 734163.0 647.498262546
bluefoxicy 2242 734163.0 647.498262546
fabi 2242 734163.0 647.498262546
walpuski 2242 734163.0 647.498262546
wrowe 2242 734163.0 647.498262546
seadawg 2242 734163.0 647.498262546
Safari 2242 734163.0 647.498262546
peter55 2242 734163.0 647.498262546
taopunk 2242 734163.0 647.498262546
patware 2242 734163.0 647.498262546
thisgirl 2242 734163.0 647.498262546
palm 2242 734163.0 647.498262546
katim 2242 734163.0 647.498262546
wjlr 2242 734163.0 647.498262546
SIrabbi 2242 734163.0 647.498262546
paladine 2242 734163.0 647.498262546
tpot 2242 734163.0 647.498262546
dannyboy 2242 734163.0 647.498262546
prevostjm 2242 734163.0 647.498262546
jbaker 2052 734266.0 592.649981017
eskimoses 2242 734163.0 647.498262546
FrenchTouch 2242 734163.0 647.498262546
aegis 2242 734163.0 647.498262546
mpb 2242 734163.0 647.498262546
JohnP 2242 734163.0 647.498262546
sktrdie 2242 734163.0 647.498262546
stwman11 2242 734163.0 647.498262546
WinterLight 2242 734163.0 647.498262546
cdegroot 2242 734163.0 647.498262546
ivey 2242 734163.0 647.498262546
clever 2242 734163.0 647.498262546
reginaldo 2242 734163.0 647.498262546
Flax 2242 734163.0 647.498262546
hch 2245 734164.5 648.364288036
